Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,014015,1950,08,0.8,Y
IDCJAC0001,014015,1950,09,18.3,Y
IDCJAC0001,014015,1950,10,128.9,Y
IDCJAC0001,014015,1950,11,151.2,Y
IDCJAC0001,014015,1950,12,357.9,Y
IDCJAC0001,014015,1951,01,198.6,Y
IDCJAC0001,014015,1951,02,341.6,Y
IDCJAC0001,014015,1951,03,171.5,Y
IDCJAC0001,014015,1951,04,43.8,Y
IDCJAC0001,014015,1951,05,0.0,Y
IDCJAC0001,014015,1951,06,0.0,Y
IDCJAC0001,014015,1951,07,0.0,Y
IDCJAC0001,014015,1951,08,0.5,Y
IDCJAC0001,014015,1951,09,6.6,Y
IDCJAC0001,014015,1951,10,111.3,Y
IDCJAC0001,014015,1951,11,109.4,Y
IDCJAC0001,014015,1951,12,168.9,Y
IDCJAC0001,014015,1952,01,317.2,Y
IDCJAC0001,014015,1952,02,158.5,Y
IDCJAC0001,014015,1952,03,171.7,Y
IDCJAC0001,014015,1952,04,27.6,Y
IDCJAC0001,014015,1952,05,0.0,Y
IDCJAC0001,014015,1952,06,0.0,Y
IDCJAC0001,014015,1952,07,3.3,Y
IDCJAC0001,014015,1952,08,0.3,Y
IDCJAC0001,014015,1952,09,10.0,Y
IDCJAC0001,014015,1952,10,45.8,Y
IDCJAC0001,014015,1952,11,199.1,Y
IDCJAC0001,014015,1952,12,170.9,Y
IDCJAC0001,014015,1953,01,465.5,Y
IDCJAC0001,014015,1953,02,325.0,Y
IDCJAC0001,014015,1953,03,203.5,Y
IDCJAC0001,014015,1953,04,357.0,Y
IDCJAC0001,014015,1953,05,0.0,Y
IDCJAC0001,014015,1953,06,0.0,Y
IDCJAC0001,014015,1953,07,0.0,Y
IDCJAC0001,014015,1953,08,0.0,Y
IDCJAC0001,014015,1953,09,0.5,Y
IDCJAC0001,014015,1953,10,0.0,Y
IDCJAC0001,014015,1953,11,115.1,Y
IDCJAC0001,014015,1953,12,231.7,Y
IDCJAC0001,014015,1954,01,460.3,Y
IDCJAC0001,014015,1954,02,229.2,Y
IDCJAC0001,014015,1954,03,225.7,Y
IDCJAC0001,014015,1954,04,168.6,Y
IDCJAC0001,014015,1954,05,0.0,Y
IDCJAC0001,014015,1954,06,0.0,Y
IDCJAC0001,014015,1954,07,0.0,Y
IDCJAC0001,014015,1954,08,3.8,Y
IDCJAC0001,014015,1954,09,23.4,Y
IDCJAC0001,014015,1954,10,338.7,Y
IDCJAC0001,014015,1954,11,186.3,Y
IDCJAC0001,014015,1954,12,257.1,Y
IDCJAC0001,014015,1955,01,205.5,Y
IDCJAC0001,014015,1955,02,654.0,Y
IDCJAC0001,014015,1955,03,310.0,Y
IDCJAC0001,014015,1955,04,186.6,Y
IDCJAC0001,014015,1955,05,31.5,Y
IDCJAC0001,014015,1955,06,4.0,Y
IDCJAC0001,014015,1955,07,9.7,Y
IDCJAC0001,014015,1955,08,0.0,Y
IDCJAC0001,014015,1955,09,0.0,Y
IDCJAC0001,014015,1955,10,1.4,Y
IDCJAC0001,014015,1955,11,219.3,Y
IDCJAC0001,014015,1955,12,113.5,Y
IDCJAC0001,014015,1956,01,344.7,Y
IDCJAC0001,014015,1956,02,629.5,Y
IDCJAC0001,014015,1956,03,220.2,Y
IDCJAC0001,014015,1956,04,218.4,Y
IDCJAC0001,014015,1956,05,96.8,Y
IDCJAC0001,014015,1956,06,0.0,Y
IDCJAC0001,014015,1956,07,6.1,Y
IDCJAC0001,014015,1956,08,0.8,Y
IDCJAC0001,014015,1956,09,18.6,Y
IDCJAC0001,014015,1956,10,150.2,Y
IDCJAC0001,014015,1956,11,215.2,Y
IDCJAC0001,014015,1956,12,406.5,Y
IDCJAC0001,014015,1957,01,564.0,Y
IDCJAC0001,014015,1957,02,355.3,Y
IDCJAC0001,014015,1957,03,360.3,Y
IDCJAC0001,014015,1957,04,30.5,Y
IDCJAC0001,014015,1957,05,12.9,Y
IDCJAC0001,014015,1957,06,4.6,Y
IDCJAC0001,014015,1957,07,5.3,Y
IDCJAC0001,014015,1957,08,0.0,Y
IDCJAC0001,014015,1957,09,3.8,Y
IDCJAC0001,014015,1957,10,21.4,Y
IDCJAC0001,014015,1957,11,113.6,Y
IDCJAC0001,014015,1957,12,412.2,Y
